開発フロー	タスク	担当	実作業(h)	AI適用カテゴリ	削減率	AI削減可能(h)	AI・エージェント活用の具体策
⑤資材リニューアル	競合再調査、ターゲット再検討	管理者	1.00	調査・情報収集	70%	0.70	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
⑤資材リニューアル	旧商品との差別化	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	ラインナップ決定	管理者	1.00	価格・目標・ターゲット設計	50%	0.50	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑤資材リニューアル	資材の検討・決定→在庫価格一覧表に資材情報を記入	管理者	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
⑤資材リニューアル	バリエーション名 ※旧商品と混同しない名称	管理者	0.25	ネーミング・デザイン案出し	60%	0.15	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
⑤資材リニューアル	商品変更の経緯などを商品開発部内に共有	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	作成方法を検討	メンバー	1.00	検討・データ整理(一部)	40%	0.40	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
⑤資材リニューアル	試作・調整	メンバー	1.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	販売価格の決定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑤資材リニューアル	目標設定	管理者	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑤資材リニューアル	社長の確認	管理者	0.50	確認依頼メール作成	60%	0.30	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
⑤資材リニューアル	作成方法を生産部（生産管理者）と打合せ	メンバー	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	作成方法の詳細・生産の流れ確定	生産部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	Webdecoシミュレーション提出用データを作成	メンバー	2.00	シミュレーションデータ作成(一部)	40%	0.80	提出用データをテンプレ化＋AI補助で雛形生成。最終調整は人。
⑤資材リニューアル	Webdecoシミュレーション見積・データ提出 ※メール件名に商品名も入れる	管理者	0.25	確認依頼メール作成	60%	0.15	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
⑤資材リニューアル	発売日確定・PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリングを招集	管理者	0.50	QA・テスト・周知	50%	0.25	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑤資材リニューアル	PRO FUN-CREATORにオフラインで商品情報共有＆ヒアリング	商品開発部	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	商品内容を調整	商品開発部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	PRO FUN-CREATORヒアリング内容のフィードバック	管理者	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	本番発注・発注マニュアル作成・発注者の振り分けを相談（生産管理者）	メンバー	0.50	文章作成・まとめ・共有資料	80%	0.40	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	「品質について」を記入	メンバー	0.25	文章作成・まとめ・共有資料	80%	0.20	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	商品ページ依頼準備（LP依頼シート）	メンバー	0.50	LP・商品ページ作成/QA	70%	0.35	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑤資材リニューアル	在庫数を確認（切れるタイミングと更新を調整するため）	メンバー	0.00	集計・在庫データ処理	85%	0.00	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
⑤資材リニューアル	Webマーケ部（Web管理者）と打合せ・ページ依頼	メンバー	1.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	この商品用のスタンプ・背景を検討	メンバー	0.50	ネーミング・デザイン案出し	60%	0.30	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
⑤資材リニューアル	完成シミュレーションの確認 ※生産部（生産管理者）も確認	メンバー	0.50	QA・テスト・周知	50%	0.25	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑤資材リニューアル	シミュレーション情報をWebマーケに共有	メンバー	0.25	文章作成・まとめ・共有資料	80%	0.20	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑤資材リニューアル	商品ページチェック・修正依頼 ※リニューアル箇所の表示は必須	メンバー	0.25	LP・商品ページ作成/QA	70%	0.18	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑤資材リニューアル	PRO FUN-CREATORにページ共有	メンバー	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑤資材リニューアル	テスト注文依頼＆チェック・販売開始・全体に周知	管理者	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑤資材リニューアル	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	データ入稿テンプレート作成	メンバー	0.00	LP・商品ページ作成/QA	70%	0.00	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑤資材リニューアル	データ入稿を販売開始	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑤資材リニューアル	売上集計（2週間後）→準備シートに記録	メンバー	0.25	集計・在庫データ処理	85%	0.21	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
⑤資材リニューアル	生産の問題点を確認（2か月後）→解決とフィードバックをプラン	メンバー	0.25	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	機会・ターゲット・コンセプト・デザインイメージの大枠を決定	商品開発部	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑥既成デザイン商品	競合調査（デザイン面の人気を調べる）	メンバー	1.00	調査・情報収集	70%	0.70	Claude in Chrome／検索エージェントで競合の価格・仕様・デザイン傾向を一括取得し表に自動要約。SNS・レビューからニーズも抽出。既存の競合調査フォーマットで出力。
⑥既成デザイン商品	デザインのラインナップと名称を決定	メンバー	1.00	ネーミング・デザイン案出し	60%	0.60	商品特徴・ターゲットを渡しネーミング／バリエーション名を一括生成。スタンプ・背景は画像生成AIで案出し。最終選定のみ人。
⑥既成デザイン商品	データ作成方法を検討	メンバー	2.00	検討・データ整理(一部)	40%	0.80	作成方法の候補出し・追加内容の整理・在庫価格一覧への記入補助をAIが下書き。物理試作・最終判断は人。
⑥既成デザイン商品	販売価格の決定	メンバー	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑥既成デザイン商品	目標設定	メンバー	0.50	価格・目標・ターゲット設計	50%	0.25	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑥既成デザイン商品	社長の確認（ターゲット、デザイン、データ作成方法）	メンバー	1.00	確認依頼メール作成	60%	0.60	見積・確認依頼メールをAIがテンプレから自動作成（件名への商品名挿入まで）。
⑥既成デザイン商品	作成方法を生産部（生産管理者）と打合せ	メンバー	0.50	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	作成方法の詳細・生産の流れ確定	生産部	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	データ作成用テンプレートを作成	メンバー	2.00	LP・商品ページ作成/QA	70%	1.40	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑥既成デザイン商品	商品ページ依頼	メンバー	1.00	LP・商品ページ作成/QA	70%	0.70	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑥既成デザイン商品	商品情報と作成方法を現場に共有	メンバー	0.25	文章作成・まとめ・共有資料	80%	0.20	テンプレ＋商品情報を渡してClaude/Geminiが根拠資料・コンセプト文・発注マニュアル・品質コピー・差別化ポイントをドラフト。人は確認と微修正のみ。
⑥既成デザイン商品	商品ページチェック・修正依頼	メンバー	0.25	LP・商品ページ作成/QA	70%	0.18	LP依頼シート・ページ文面をAIが下書き。Claude in Chromeで公開ページを仕様と突合し修正リストを自動生成（既存ページQAフロー流用）。
⑥既成デザイン商品	PRO FUN-CREATORにページ共有	メンバー	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑥既成デザイン商品	テスト注文依頼＆チェック・販売開始・全体に周知	メンバー	0.25	QA・テスト・周知	50%	0.13	テスト注文をPlaywrightで自動実行・差分チェック。周知文・招集案内・共有連絡はAIがドラフト。
⑥既成デザイン商品	楽天に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	Amazonに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	giftmallに出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	Yahoo!に出品	Webマーケ	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
⑥既成デザイン商品	FBA化を検討（6か月後）	管理者	0.00	価格・目標・ターゲット設計	50%	0.00	過去実績・季節係数モデル（既存PDCAシート）をAIに渡し、価格／目標／ペルソナ／ラインナップ案を自動算出。意思決定は人。
⑥既成デザイン商品	売上集計（2週間後）→準備シートに記録	メンバー	0.25	集計・在庫データ処理	85%	0.21	Apps Script／Pythonで売上集計・在庫確認を自動実行し準備シートへ自動転記。手作業をほぼゼロ化。
⑥既成デザイン商品	生産の問題点を確認（2か月後）→解決とフィードバックをプラン	メンバー	0.00	自動化困難(物理/対面/別部署)	0%	0.00	物理試作・対面ヒアリング・生産確定・別部署(Webマーケ)出品のため現状はAI化対象外（議事録要約等の補助のみ）。
		合計	93.3			45.8
