※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	ライフイベントとの相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
バッグのハンドルカバー		推し色など		5点：Web deco	https://dshopping.docomo.ne.jp/products/1361141		5	7	3	4	8	6	56	56	C			2：新規資材が必要（設備の調整や治具の必要あり）
財布、カードケース		布・PVC素材	雑貨・推し活収納	5点：Web deco			5	7	3	4	8	6	56	56	C	アイロン一般	UV一般	1：新設備が必要or外注のみ
ヘアアクセサリー		シュシュ等　推し色		5点：Web deco			5	7	3	4	8	6	56	56	C	UV一般		1：新設備が必要or外注のみ
プリントシール					https://www.acry.co.jp/news/id90/	　	5	7	3	3	8	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
スケルトンうちわ（間に何か挟める）				1点：デザイン無し	https://www.instagram.com/p/CyxiixBr1AA/?igshid=MzRlODBiNWFlZA%3D%3D&img_index=3		5	7	2	4	8	7	55	55	C			1：新設備が必要or外注のみ
かぶる顔（メッシュ生地にプリント）				4点：フリーカット	https://vt.tiktok.com/ZSSJ2F6q5/		6	4	6	5	8	4	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
横断幕、応援幕			スポーツ応援・部活	5点：Web deco			6	5	3	5	8	6	55	55	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
フリーカットアクセサリー		顔デザイン等		4点：フリーカット			5	5	6	5	8	5	55	55	C	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
キッズサイズＴシャツ		親子セットも		5点：Web deco			5	7	3	4	8	5	55	55	C	アイロン一般		3：新規資材が必要（設備の調整や治具の必要なし）
折りたたみうちわ・扇子				5点：Web deco	https://x.gd/oDYGN		5	7	3	4	7	6	55	55	C			1：新設備が必要or外注のみ
ホワイトボードうちわ				1点：デザイン無し			5	7	2	3	8	7	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
フェイスうちわ				1点：デザイン無し			5	7	2	3	8	7	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフボールスタンド		名入れ・ディスプレイ	ゴルフ記念・コンペ	5点：Web deco	https://wowma.jp/item/505474602?aff_id=PLA_m_401910		6	4	4	6	8	6	54	54	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
名入れ万年筆				5点：Web deco			6	5	3	6	8	5	54	54	C			1：新設備が必要or外注のみ
ウォールステッカー				4点：フリーカット			5	6	5	4	8	4	54	54	C			2：新規資材が必要（設備の調整や治具の必要あり）
文字キーチェーン（金属加工）				3点：名入れ・画像カスタマイズ	https://www.etsy.com/jp/listing/1107382094/korean-name-necklace-hangul-necklace?ga_order=most_relevant&ga_search_type=all&ga_view_type=gallery&ga_search_query=kpop&ref=sc_gallery-1-4&pro=1&pop=1&sts=1&mto=1&search_preloaded_img=1&plkey=df3f42ba5580e732e8f557bd53f693a6c240943c%3A1107382094		5	6	4	5	8	5	54	54	C	その他・不明・未定		1：新設備が必要or外注のみ
クリアボトル		シールデコ		5点：Web deco			5	7	3	3	8	5	54	54	C	アイコス	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
数字グッズ		誕生日・記念日	ギフト・推し活	2点：既成デザイン			5	6	3	4	8	7	54	54	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
推し活貯金箱			推し・ペットのため	2点：既成デザイン	https://www.palcloset.jp/display/item/2225-KR346-0000/?b=3coins		5	6	3	4	8	7	54	54	C	その他・不明・未定		1：新設備が必要or外注のみ
顔ハンガー				4点：フリーカット			5	5	6	5	8	4	54	54	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
眼鏡スタンド(顔デザイン)		アクリル		4点：フリーカット			5	5	6	5	8	4	54	54	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
アクリルコースターの形状追加		星など		5点：Web deco			5	6	4	4	8	5	54	54	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
キラキラシール		ビックリマン風		5点：Web deco	https://www.instagram.com/p/C-uXIHHsYEp/?igsh=MWtjbjlwdDg1cWZiOA==\nhttps://www.instagram.com/haru_ouchi_asobi?igsh=dXR6b3E0NnRzZzFs		5	6	4	4	8	5	54	54	C	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
バッグチャーム				5点：Web deco			5	7	3	4	8	4	54	54	C	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
アクリルのカラビナ				5点：Web deco	https://item.rakuten.co.jp/hanko-otobe/ldac-kr/		5	7	3	4	8	4	54	54	C			2：新規資材が必要（設備の調整や治具の必要あり）
ぷっくりステッカー				5点：Web deco			5	7	3	4	8	4	54	54	C	アイコス	グッズ	1：新設備が必要or外注のみ
1文字漢字グッズの推し活バージョン		アイドルの漢字		2点：既成デザイン			5	6	3	3	8	7	54	54	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
押し色リボングッズ		競合とデザイン差は出ない		2点：既成デザイン	https://www.instagram.com/p/CyQtDO5SWKf/?igshid=MzRlODBiNWFlZA%3D%3D&img_index=1		5	6	3	3	8	7	54	54	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
オリジナルはんこ			ペット・推し活	5点：Web deco			5	6	3	5	8	6	54	54	C			1：新設備が必要or外注のみ
ペンラの被り物		ちびぬいにも被せられる		2点：既成デザイン	https://cafepancha2.stores.jp/items/628c31030ebded742877c269		5	6	3	3	8	7	54	54	C	その他・不明・未定		1：新設備が必要or外注のみ
推しぬいの顔パーツ（刺繍、パーツ）			ぬい活	2点：既成デザイン			5	6	3	3	8	7	54	54	C			1：新設備が必要or外注のみ
フルオーダーマグカップ		ユニフォーム柄	卒団・引退記念	3点：名入れ・画像カスタマイズ	https://mug-brighten.com/sotsugyokinen/		6	4	4	6	7	6	53	53	C	グッズ		4：既存資材で作成可能（新しい作成方法あり）
ユニフォーム型モバイルバッテリー		チームユニフォーム柄	スポーツ卒団記念	3点：名入れ・画像カスタマイズ			6	4	4	6	7	6	53	53	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
アンブレラマーカー・ボトルマーカー			取り違え防止	4点：フリーカット			5	5	6	4	8	4	53	53	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
多機能スタンド		木製・アクリル	デスク整理・スマホ置き	5点：Web deco	https://www.amazon.co.jp/dp/B07XC1CHN9		5	6	4	5	8	4	53	53	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
パステルカラーのカラーシール				3点：名入れ・画像カスタマイズ			5	6	4	3	8	5	53	53	C			3：新規資材が必要（設備の調整や治具の必要なし）
ペット用クッション				5点：Web deco			5	5	4	4	8	7	53	53	C			2：新規資材が必要（設備の調整や治具の必要あり）
クリアデコステッカー		透明シール		5点：Web deco			5	7	3	3	8	4	53	53	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
Webdecoステッカー小		サイズバリエーション	手帳・小物デコ	5点：Web deco			5	7	3	3	8	4	53	53	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
Webdecoステッカーのマグネット化				5点：Web deco			5	7	3	3	8	4	53	53	C			2：新規資材が必要（設備の調整や治具の必要あり）
食器類			ベビー・一般・ペット	5点：Web deco			5	6	3	4	8	6	53	53	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ちびぬい		オリジナル制作	推し活・ペット	2点：既成デザイン			5	6	3	4	8	6	53	53	C	その他・不明・未定		1：新設備が必要or外注のみ
ちびぬい衣装		帽子・小物キット	ぬい活・カスタマイズ	2点：既成デザイン			5	6	3	4	8	6	53	53	C	その他・不明・未定		1：新設備が必要or外注のみ
ブロックメモ		側面印刷		5点：Web deco	https://dainichi-p.co.jp/product_all/block_memo/block_memo		5	6	4	4	8	4	53	53	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
シューズ入れ、シューズバッグ				5点：Web deco			5	6	4	4	6	6	53	53	C			2：新規資材が必要（設備の調整や治具の必要あり）
カラビナリールキー		名入れ・プリント	実用・通勤・通学	5点：Web deco			5	7	3	4	8	3	53	53	C	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
スマホショルダー			トレンド・日常使い	5点：Web deco			5	7	3	4	8	3	53	53	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
キーケース				5点：Web deco			5	7	3	4	8	3	53	53	C			2：新規資材が必要（設備の調整や治具の必要あり）
スウェット・パーカー			チームウェア・普段使い	5点：Web deco			5	7	3	4	8	3	53	53	C	アイロン一般		1：新設備が必要or外注のみ
ハンディファン・携帯扇風機			夏イベント・ライブ	5点：Web deco	https://francfranc.com/blogs/feature/frais-handyfan		5	7	3	4	5	6	53	53	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
韓国語シール			K-POPファン向け	2点：既成デザイン			5	6	3	3	8	6	53	53	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
シールデコパーツ		グリッター等	うちわ作成キット	2点：既成デザイン			5	6	3	3	8	6	53	53	C	うちわ		4：既存資材で作成可能（新しい作成方法あり）
ヘアブラシ		名入れ・プリント	美容・女性向けギフト	5点：Web deco			5	6	3	5	8	5	53	53	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
お酒ラベル				5点：Web deco			5	6	3	5	8	5	53	53	C			2：新規資材が必要（設備の調整や治具の必要あり）
海外ナンバープレート風グッズ				3点：名入れ・画像カスタマイズ			5	5	5	5	8	4	52	52	C	UV一般	グッズ	4：既存資材で作成可能（新しい作成方法あり）
光るナンバープレートストラップ				3点：名入れ・画像カスタマイズ			5	5	5	5	8	4	52	52	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
モバイルバッテリー		大容量10000mAh以上		5点：Web deco			5	7	3	3	8	3	52	52	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
ステンレスボトル		カスタムプリント	オフィス・アウトドア	5点：Web deco	https://markless.jp/category/bottle/		5	7	3	3	8	3	52	52	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
ミニトートバッグ		ランチ・お散歩バッグ		5点：Web deco			5	7	3	3	8	3	52	52	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
保温保冷タンブラー、保温保冷マグカップ				5点：Web deco			5	7	3	3	8	3	52	52	C			1：新設備が必要or外注のみ
ステンレスマグ		蓋付き・保温	デスク・アウトドア	5点：Web deco			5	7	3	3	8	3	52	52	C	その他・不明・未定		1：新設備が必要or外注のみ
等身大タオル		180cm以上の大型タオル		5点：Web deco	https://x.gd/u0iEL		5	6	3	4	8	5	52	52	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
クリアバッグ		ビニール素材		5点：Web deco			5	6	3	4	8	5	52	52	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
お昼寝セット				5点：Web deco			5	6	3	4	8	5	52	52	C			2：新規資材が必要（設備の調整や治具の必要あり）
フード付きバスタオル				5点：Web deco			5	6	3	4	8	5	52	52	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ポスター		紙・吸着素材	インテリア・販促	5点：Web deco			5	6	3	4	8	5	52	52	C	その他・不明・未定		1：新設備が必要or外注のみ
お風呂で勉強シート		世界地図、あいうえお、ABCなど		2点：既成デザイン	https://www.yodobashi.com/product/100000001006127746/		5	6	3	4	8	5	52	52	C	その他・不明・未定		1：新設備が必要or外注のみ
大人のぬりえ（番号で色を塗る）		頂いた写真を加工		3点：名入れ・画像カスタマイズ	https://takarabako.bz/brain-training_no/		5	5	4	5	8	5	52	52	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
オーダーメイド塗り絵				5点：Web deco	https://x.gd/mOodC		5	5	4	5	8	5	52	52	C			3：新規資材が必要（設備の調整や治具の必要なし）
動物型ピースのパズル		フリーカット（名入れも出来る）		2点：既成デザイン			5	5	4	5	8	5	52	52	C			1：新設備が必要or外注のみ
ビブス		名前入れ	スポーツ・ライブ応援	3点：名入れ・画像カスタマイズ			5	5	4	5	7	6	52	52	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
車ステッカーの定型デザイン		推し/子供が乗ってます		2点：既成デザイン			5	6	3	3	8	5	52	52	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
双眼鏡		スキンシール貼る	ライブ・スポーツ観戦	5点：Web deco			5	6	3	3	8	5	52	52	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
紙挿しグッズにホログラムフィルム加工		タンブラー、メガホン、ペン		2点：既成デザイン			5	6	3	3	8	5	52	52	C			4：既存資材で作成可能（新しい作成方法あり）
心の声バッジ		吹き出しデザイン		2点：既成デザイン	https://vvstore.jp/i/vv_000000000210760/?utm_source=googledpa		5	6	3	3	8	5	52	52	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
木製コースター		刻印・プリント		5点：Web deco			5	6	3	5	8	4	52	52	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
パスポートケース		名入れ・カスタム	旅行・ギフト	5点：Web deco			5	6	3	5	8	4	52	52	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
スティックバルーン風船				5点：Web deco			5	6	3	3	8	5	52	52	C			2：新規資材が必要（設備の調整や治具の必要あり）
メンタム缶					https://originalprint.jp/tin-can/%E3%83%A1%E3%83%B3%E3%82%BF%E3%83%A0%E7%BC%B6%EF%BC%8850g%EF%BC%89?srsltid=AfmBOopn0O7jFdkxNJ7u2q_SAnj2mSfEfSXO8T3BNIYkt9Wxbp3Vp2KV		5	6	3	3	8	5	52	52	C			2：新規資材が必要（設備の調整や治具の必要あり）
刻印キーリング				5点：Web deco			5	6	3	5	8	4	52	52	C			1：新設備が必要or外注のみ
帽子・キャップ		刺繍		5点：Web deco			5	6	3	5	8	4	52	52	C	その他・不明・未定		1：新設備が必要or外注のみ
ペットキャリー用スキンシール				5点：Web deco			5	5	3	4	8	7	52	52	C			4：既存資材で作成可能（新しい作成方法あり）
うちの子　毛玉入れ（可愛いのを仕入れ）		競合とデザイン差は出ない		2点：既成デザイン	https://www.instagram.com/kedamastudio/?igsh=MWh6ZzJieW5tZGoyMw%3D%3D#		5	5	3	4	8	7	52	52	C			3：新規資材が必要（設備の調整や治具の必要なし）
プリザーブドフラワー			母の日・推し活ギフト	1点：デザイン無し			5	6	2	6	6	7	52	52	C	その他・不明・未定		1：新設備が必要or外注のみ
犬用バギーの名前プレート				5点：Web deco			5	4	4	5	8	7	51	51	C			2：新規資材が必要（設備の調整や治具の必要あり）
コンパクトミラー		拡大鏡付き		5点：Web deco			5	6	3	4	8	4	51	51	C	グッズ	アイコス	3：新規資材が必要（設備の調整や治具の必要なし）
ウォールクロック				5点：Web deco			5	6	3	4	8	4	51	51	C			2：新規資材が必要（設備の調整や治具の必要あり）
お弁当箱＆カトラリーセット				5点：Web deco			5	6	3	4	8	4	51	51	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ジャージ、ウェア				5点：Web deco			5	6	3	4	8	4	51	51	C	アイロン一般		1：新設備が必要or外注のみ
オリジナルバスボール		オリジナル包装	販促・プチギフト	5点：Web deco			5	6	3	4	8	4	51	51	C	その他・不明・未定		1：新設備が必要or外注のみ
ユニフォームシャツ				5点：Web deco			5	6	3	4	7	5	51	51	C			1：新設備が必要or外注のみ
シューズマーカー				5点：Web deco	https://search.rakuten.co.jp/search/mall/%E4%B8%8A%E5%B1%A5%E3%81%8D%E3%83%AA%E3%83%B3%E3%82%B0/		5	6	3	4	6	6	51	51	C			2：新規資材が必要（設備の調整や治具の必要あり）
上履き				5点：Web deco			5	6	3	4	6	6	51	51	C			1：新設備が必要or外注のみ
誕生日新聞				2点：既成デザイン			5	5	3	5	8	6	51	51	C			1：新設備が必要or外注のみ
電光掲示板付きグッズ		掲示板機能	ライブ・店舗用	3点：名入れ・画像カスタマイズ			5	4	5	5	8	5	51	51	C	その他・不明・未定		1：新設備が必要or外注のみ
電飾ボード			店舗看板・ディスプレイ・ライブ応援	3点：名入れ・画像カスタマイズ			5	4	5	5	8	5	51	51	C	その他・不明・未定		1：新設備が必要or外注のみ
ブリキケース、缶				5点：Web deco			5	6	3	3	8	4	51	51	C			2：新規資材が必要（設備の調整や治具の必要あり）
顔はめグッズ		顔写真をはめ込むデザイン	子供・ペット・記念日	2点：既成デザイン	https://item.rakuten.co.jp/savoia/ki-horuda-3/		5	5	3	4	8	6	51	51	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
身長計（ウォールステッカー）			育児	2点：既成デザイン	https://store.shopping.yahoo.co.jp/pocchione/pa714137.html?sc_e=slga_fpla		5	5	3	4	8	6	51	51	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
記念しゃもじ				5点：Web deco	https://shakushi.shop-pro.jp/?mode=grp&gid=2945391&sort=n		5	5	3	6	8	5	51	51	C			2：新規資材が必要（設備の調整や治具の必要あり）
文字だけアクキー（Wedding、名前など）		競合とデザイン差は出ない		3点：名入れ・画像カスタマイズ			5	5	3	4	8	6	51	51	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
光る名札		ゲーミングタグ		5点：Web deco	https://nlab.itmedia.co.jp/nl/articles/2305/19/news208.html		5	5	4	4	8	4	50	50	C	その他・不明・未定		3：新規資材が必要（設備の調整や治具の必要なし）
剣道タレネーム　巾着				3点：名入れ・画像カスタマイズ			5	4	4	5	8	6	50	50	C			2：新規資材が必要（設備の調整や治具の必要あり）
ワイヤレスチャージャー		スキンシール・プリント	家電・ギフト	5点：Web deco			5	6	3	4	8	3	50	50	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
ポロシャツ				5点：Web deco			5	6	3	4	8	3	50	50	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
使い捨てないカイロ		熱で剥がれないスキンシール	冬ギフト・販促	5点：Web deco	https://item.rakuten.co.jp/mottole-shop/mtl-e007/		5	6	4	4	5	4	50	50	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
ユニフォーム型の万年カレンダー			卒団・引退記念	3点：名入れ・画像カスタマイズ			5	4	4	6	7	6	50	50	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
ユニフォーム型レザーキーホルダー		名入れ		3点：名入れ・画像カスタマイズ			5	4	4	6	7	6	50	50	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型カラビナ		付加価値付き	スポーツ卒団記念	3点：名入れ・画像カスタマイズ			5	4	4	6	7	6	50	50	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ネイルシール				5点：Web deco			5	6	3	3	8	3	50	50	C			1：新設備が必要or外注のみ
ローマ字メッセージグッズ		遠目で見たらオシャレなデザイン		2点：既成デザイン	https://x.com/09pomme11/status/2037126164624330767?s=20		5	5	3	4	8	5	50	50	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
メガジョッキ		特大サイズ	飲食店・記念品	5点：Web deco			5	5	3	6	8	4	50	50	C	グッズ		2：新規資材が必要（設備の調整や治具の必要あり）
ギターピック（セット）				5点：Web deco			5	5	3	4	8	5	50	50	C			2：新規資材が必要（設備の調整や治具の必要あり）
高級なペン				5点：Web deco			5	5	3	6	8	4	50	50	C			1：新設備が必要or外注のみ
写真入りオリジナルスケッチブック				5点：Web deco			5	5	3	4	8	5	50	50	C			1：新設備が必要or外注のみ
成長記録ポートレート用商品			月齢に印を置き、我が子を寝かせて撮影	2点：既成デザイン	https://www.amazon.co.jp/OMOTYA%E5%AF%9D%E7%9B%B8%E3%82%A2%E3%83%BC%E3%83%88-%E6%9C%88%E9%BD%A2%E3%83%95%E3%82%A9%E3%83%88%E3%82%B0%E3%83%83%E3%82%BA-%E6%9C%88%E9%BD%A2%E3%83%95%E3%82%A9%E3%83%88%E3%82%B7%E3%83%BC%E3%83%84-%E6%96%B0%E7%94%9F%E5%85%90%E3%83%97%E3%83%AC%E3%82%BC%E3%83%B3%E3%83%88-%E5%AD%90%E3%81%A9%E3%82%82%E3%81%AE%E6%88%90%E9%95%B7%E3%81%AE%E8%A8%98%E9%8C%B2/dp/B08LMSYHYC?th=1		5	5	3	4	6	7	50	50	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
オリジナル将棋盤		孫の写真などのデザイン		5点：Web deco			5	4	4	5	8	5	49	49	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型パスケース		形状・背番号入れ	通学・スポーツチーム	3点：名入れ・画像カスタマイズ			5	4	4	5	7	6	49	49	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型マウスパッド				3点：名入れ・画像カスタマイズ			5	4	4	5	7	6	49	49	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型クッション				3点：名入れ・画像カスタマイズ			5	4	4	5	7	6	49	49	C	アイロン縫製		1：新設備が必要or外注のみ
防水ポーチ			サウナ・レジャー用	5点：Web deco			5	6	3	4	7	3	49	49	C	アイロン一般	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
サウナハット				5点：Web deco			5	6	3	4	7	3	49	49	C			1：新設備が必要or外注のみ
アームカバー（復活）		UVカット・冷感	スポーツ・野外イベント	5点：Web deco			5	6	3	4	6	4	49	49	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
冷感タオル　大型サイズ			夏イベント・スポーツ	5点：Web deco			5	6	3	4	5	5	49	49	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
カードゲーム用マット				5点：Web deco			5	5	3	5	8	4	49	49	C			2：新規資材が必要（設備の調整や治具の必要あり）
ふくさ				5点：Web deco			5	5	3	5	8	4	49	49	C			2：新規資材が必要（設備の調整や治具の必要あり）
御朱印帳				5点：Web deco			5	5	3	5	8	4	49	49	C			1：新設備が必要or外注のみ
米のOEM		パッケージデザイン		5点：Web deco			5	5	3	5	8	4	49	49	C			1：新設備が必要or外注のみ
新生児1年間のイベントを手帳やカレンダーに貼るシール				2点：既成デザイン			5	5	3	3	6	7	49	49	C			5：既存資材で作成可能（新しい作成方法なし）
木札			ひなまつりとかイベント用	5点：Web deco	https://giftmall.co.jp/giftoGySwz/		5	5	3	5	6	6	49	49	C			2：新規資材が必要（設備の調整や治具の必要あり）
全面印刷はっぴ			お祭り・コンサート	5点：Web deco			5	5	3	5	6	6	49	49	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
トイレ用ステッカー（男子の失敗防止シールなど）				2点：既成デザイン			5	6	3	3	8	2	49	49	C			5：既存資材で作成可能（新しい作成方法なし）
写真撮影用フレーム				2点：既成デザイン	https://www.shibukei.com/photoflash/13476/		5	5	3	4	8	4	49	49	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
バッグタグ、ラゲッジタグ、ネームタグ(ゴルフバッグなど)、グリップエンド用ネームタグ				5点：Web deco			5	5	3	4	8	4	49	49	C			3：新規資材が必要（設備の調整や治具の必要なし）
携帯グリップ				5点：Web deco			4	7	3	3	8	3	49	49	C			2：新規資材が必要（設備の調整や治具の必要あり）
靴下				5点：Web deco			4	7	3	3	8	3	49	49	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
エコバッグ				5点：Web deco			4	7	3	3	8	3	49	49	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
マスキングテープ				5点：Web deco			4	7	3	3	8	3	49	49	C			1：新設備が必要or外注のみ
地形データを使った商品				2点：既成デザイン	https://www.instructables.com/How-to-Make-a-Topographic-Model/		5	4	4	5	8	4	48	48	C			4：既存資材で作成可能（新しい作成方法あり）
クールネック（+カバー）				5点：Web deco			5	6	3	4	5	4	48	48	C			2：新規資材が必要（設備の調整や治具の必要あり）
表札、看板				5点：Web deco			5	5	3	5	8	3	48	48	C			1：新設備が必要or外注のみ
ミニ酒樽			お祝い	5点：Web deco			5	4	3	6	8	5	48	48	C			1：新設備が必要or外注のみ
ゴルフボールにキーホルダーパーツ差したやつ				5点：Web deco			5	4	4	4	8	4	48	48	C			1：新設備が必要or外注のみ
ゴルフボールポーチ			ゴルフ・ギフト	5点：Web deco			5	4	3	5	8	5	48	48	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
フェルトキーホルダー				5点：Web deco			4	6	3	4	8	4	48	48	C			1：新設備が必要or外注のみ
エナメルバック				5点：Web deco			4	6	3	4	8	4	48	48	C			1：新設備が必要or外注のみ
ぬいスタンド		競合とデザイン差は出ない	ぬい活	1点：デザイン無し			4	6	2	3	8	6	48	48	C			2：新規資材が必要（設備の調整や治具の必要あり）
ちびぬいケース		競合とデザイン差は出ない		1点：デザイン無し			4	6	2	3	8	6	48	48	C			2：新規資材が必要（設備の調整や治具の必要あり）
家紋アクスタ・刀剣アクスタ				2点：既成デザイン			5	4	3	4	8	5	47	47	C			4：既存資材で作成可能（新しい作成方法あり）
名刺入れ		レザー		5点：Web deco			4	6	3	5	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ペットのエサ箱				5点：Web deco			4	5	3	4	8	6	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
犬猫用ブラシ				5点：Web deco			4	5	3	4	8	6	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
犬猫用髪飾り				5点：Web deco			4	5	3	4	8	6	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ラゲッジタグ					https://shop-list.com/women/plusnao/zak-11582/	　	5	5	3	4	6	4	47	47	C			3：新規資材が必要（設備の調整や治具の必要なし）
ゴルフクラブカバー				5点：Web deco			5	4	3	5	8	4	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ゴルフグローブ		刺繍		5点：Web deco	https://www.amazon.co.jp/dp/B00KGXSP3A		5	4	3	5	8	4	47	47	C			1：新設備が必要or外注のみ
座布団・クッション		実用重視	リビング・車内	5点：Web deco			4	6	3	4	8	3	47	47	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
ノート（セット）				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ランチョンマット(PET樹脂など)				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
スマートウォッチバンド（シリコン、レザー、ラバー）				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
ビーズクッション（カバー）				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
メガネケース		メガネ拭き付き		5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
スーツケースベルト				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
手帳ケース、手帳カバー				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
デスクマット				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
サコッシュ				5点：Web deco			4	6	3	4	8	3	47	47	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ヘアバンド			スポーツ、身支度用	5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
トラベルポーチセット				5点：Web deco			4	6	3	4	8	3	47	47	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
キッチンマット				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
玄関マット				5点：Web deco			4	6	3	4	8	3	47	47	C			2：新規資材が必要（設備の調整や治具の必要あり）
