※プランに入れたら緑、発売したらグレー
新商品案		概要・仕様	想定ターゲット\nと使用シーン	デザイン自由度	参考商品1	参考商品2	購買意欲\n・ニーズ	ターゲット規模	競合\n優位性	高単価化\nしやすさ	通年性	推し活との相性	総合点\n（ウェイト付き）	総合点コピペ	ランク	エリア候補1	エリア候補2	生産方法があるか\n※SS～Aランクだけ人力で評価する。
アンブレラマーカー・ボトルマーカー			取り違え防止	4点：フリーカット			5	7	3	5	7	6	55	55	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
キャンバストート		12色展開	推し活・習い事	5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
アクリル時計		写真/デザインプリント	卒業・結婚・誕生記念	5点：Web deco			5	7	3	5	7	6	55	55	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
クリアボトル		シールデコ		5点：Web deco			5	7	3	5	7	6	55	55	C	アイコス	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
ウォールクロック				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型タオル		実物デザイン再現	応援・記念品	3点：名入れ・画像カスタマイズ			5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ファブリックポスター		布製・ナチュラル	韓国風インテリア・記念	5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
等身大タオル		180cm以上の大型タオル		5点：Web deco	https://x.gd/u0iEL		5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
靴下				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
手帳ケース、手帳カバー				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ビーズクッション（カバー）				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
エコバッグ				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ノート（セット）				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ダイカットクッション		自由形状・全面プリント	インテリア・ペット	4点：フリーカット			5	7	3	5	7	6	55	55	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
ネクタイピン				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ヘアバンド			スポーツ、身支度用	5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
全面印刷はっぴ			お祭り・コンサート	5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
温泉バッグ				5点：Web deco	https://store.shopping.yahoo.co.jp/pacificsign/ky-mbm2.html?sc_i=shp_sp_store-item_lemstr		5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
フード付きバスタオル				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
シューズ入れ、シューズバッグ				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
スープボトル		真空断熱		5点：Web deco			5	7	3	5	7	6	55	55	C	アイコス	UV一般	2：新規資材が必要（設備の調整や治具の必要あり）
ポロシャツ				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
ネクタイ				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
スカーフ、ストール				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
サイン帳				5点：Web deco			5	7	3	5	7	6	55	55	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型クッション				3点：名入れ・画像カスタマイズ			5	7	3	5	7	6	55	55	C	アイロン縫製		1：新設備が必要or外注のみ
保温保冷タンブラー、保温保冷マグカップ				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
オーガニック素材のタオル				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		1：新設備が必要or外注のみ
スウェット・パーカー			チームウェア・普段使い	5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		1：新設備が必要or外注のみ
ビニール傘				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
折りたたみ傘				5点：Web deco	https://x.gd/qX3yW		5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
毛布				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
部活バッグのミニチュア				2点：既成デザイン			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
ユニフォームシャツ				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
ガーランド				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
ジャージ、ウェア				5点：Web deco			5	7	3	5	7	6	55	55	C	アイロン一般		1：新設備が必要or外注のみ
ステンレスマグ		蓋付き・保温	デスク・アウトドア	5点：Web deco			5	7	3	5	7	6	55	55	C	その他・不明・未定		1：新設備が必要or外注のみ
写真入りオリジナルスケッチブック				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
パジャマ				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
ガウン		刺繍		5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
帽子・キャップ		刺繍		5点：Web deco			5	7	3	5	7	6	55	55	C	その他・不明・未定		1：新設備が必要or外注のみ
スケジュール帳				5点：Web deco			5	7	3	5	7	6	55	55	C	その他・不明・未定		1：新設備が必要or外注のみ
ポスター		紙・吸着素材	インテリア・販促	5点：Web deco			5	7	3	5	7	6	55	55	C	その他・不明・未定		1：新設備が必要or外注のみ
車の実寸タペストリー				5点：Web deco			5	7	3	5	7	6	55	55	C			1：新設備が必要or外注のみ
冷感タオル　大型サイズ			夏イベント・スポーツ	5点：Web deco			5	7	3	5	4	6	52	52	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
光るプレート		木製台座等	記念品・表彰	5点：Web deco			3	4	6	4	7	3	41	41	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
光るバンド				5点：Web deco			3	4	6	4	7	3	41	41	C			2：新規資材が必要（設備の調整や治具の必要あり）
電飾ボード			店舗看板・ディスプレイ・ライブ応援	3点：名入れ・画像カスタマイズ			3	4	6	4	7	3	41	41	C	その他・不明・未定		1：新設備が必要or外注のみ
彫刻商品（ステンレス製品、木製品、夫婦箸My箸）				3点：名入れ・画像カスタマイズ			3	4	3	5	7	3	37	37	C			2：新規資材が必要（設備の調整や治具の必要あり）
高級なペン				5点：Web deco			3	4	3	5	7	3	37	37	C			1：新設備が必要or外注のみ
アンドロイド スマホスキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			5：既存資材で作成可能（新しい作成方法なし）
韓国語シール			K-POPファン向け	2点：既成デザイン			3	4	3	4	7	3	36	36	C	アイコス		5：既存資材で作成可能（新しい作成方法なし）
言葉の波形デザインをプリントしたグッズ		アクリル・キャンバスなど	記念・育児・推し活・ペット	3点：名入れ・画像カスタマイズ	https://positiveprints.com/ja/%E8%A3%BD%E5%93%81/%E3%83%87%E3%82%B8%E3%82%BF%E3%83%AB%E3%82%B5%E3%82%A6%E3%83%B3%E3%83%89%E3%82%A6%E3%82%A7%E3%83%BC%E3%83%96%E3%82%A2%E3%83%BC%E3%83%88/		3	4	3	4	7	3	36	36	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
眼鏡スタンド(顔デザイン)		アクリル		4点：フリーカット			3	4	3	4	7	3	36	36	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
オーダー文字シール		イニシャル等	推し色デコ	3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
アクリルコースターの形状追加		星など		5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
テーマカラーのグッズセット			還暦（赤）など	3点：名入れ・画像カスタマイズ	https://giftmall.co.jp/gifthxQSM7/?gsf_pcid=2476430%3A474499%3A0&srsltid=AfmBOoq-jHBMkpAmm0rZ-kG5Q6X5OahRPxTd2EMZdIp8CPId2rGwqLemASU		3	4	3	4	7	3	36	36	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
多機能スタンド		木製・アクリル	デスク整理・スマホ置き	5点：Web deco	https://www.amazon.co.jp/dp/B07XC1CHN9		3	4	3	4	7	3	36	36	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
モバイルバッテリー		大容量10000mAh以上		5点：Web deco			3	4	3	4	7	3	36	36	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
顔ハンガー				4点：フリーカット			3	4	3	4	7	3	36	36	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
Macbookスキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C	アイコス		4：既存資材で作成可能（新しい作成方法あり）
枕カバー		全面プリント		5点：Web deco			3	4	3	4	7	3	36	36	C	アイロン縫製		4：既存資材で作成可能（新しい作成方法あり）
大人のぬりえ（番号で色を塗る）		頂いた写真を加工		3点：名入れ・画像カスタマイズ	https://takarabako.bz/brain-training_no/		3	4	3	4	7	3	36	36	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
アトマイザーシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
名前ポエムグッズ		アクロスティックメッセージ	お祝い・記念日ギフト	5点：Web deco	https://chatgpt.com/share/e/68ad3c33-1f30-8006-acb1-e98c872f601e		3	4	3	4	7	3	36	36	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
写真撮影用フレーム				2点：既成デザイン	https://www.shibukei.com/photoflash/13476/		3	4	3	4	7	3	36	36	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
surfaceスキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
ポータブルマッサージガン（スキンシール）				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
紙挿しグッズにホログラムフィルム加工		タンブラー、メガホン、ペン		2点：既成デザイン			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
ローマ字メッセージグッズ		遠目で見たらオシャレなデザイン		2点：既成デザイン	https://x.com/09pomme11/status/2037126164624330767?s=20		3	4	3	4	7	3	36	36	C	その他・不明・未定		4：既存資材で作成可能（新しい作成方法あり）
地形データを使った商品				2点：既成デザイン	https://www.instructables.com/How-to-Make-a-Topographic-Model/		3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
apple pencil スキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
iPadキーボード スキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
ドアノブプレート				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
スピーカー スキンシール\n（音楽系/ミライスピーカーとか老人系）				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
迷子札（NFCタグ入り）			ペット・子供	5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
電気スイッチカバー、コンセントカバー、スキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
カメラ(キャップとか)用スキンシール				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
USB				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
心の声バッジ		吹き出しデザイン		2点：既成デザイン	https://vvstore.jp/i/vv_000000000210760/?utm_source=googledpa		3	4	3	4	7	3	36	36	C	UV一般		4：既存資材で作成可能（新しい作成方法あり）
家電用スキンシール（テレビ、ルンバ）				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
歩数計・血圧計（スキンシール）				5点：Web deco			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
顔はめグッズ		顔写真をはめ込むデザイン	子供・ペット・記念日	2点：既成デザイン	https://item.rakuten.co.jp/savoia/ki-horuda-3/		3	4	3	4	7	3	36	36	C	UVフリーカット		4：既存資材で作成可能（新しい作成方法あり）
地図型ピースのパズル				2点：既成デザイン			3	4	3	4	7	3	36	36	C			4：既存資材で作成可能（新しい作成方法あり）
アクリルプレート壁掛け用		複数連結・チャーム		5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
カラビナリールキー		名入れ・プリント	実用・通勤・通学	5点：Web deco			3	4	3	4	7	3	36	36	C	グッズ		3：新規資材が必要（設備の調整や治具の必要なし）
ユニフォーム型モバイルバッテリー		チームユニフォーム柄	スポーツ卒団記念	3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
パステルカラーのカラーシール				3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
パソコンのアクリルモニターメモボード				5点：Web deco			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
珪藻土コースター				5点：Web deco	https://x.gd/saCvN		3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
フリーカットアクセサリー		顔デザイン等		4点：フリーカット			3	4	3	4	7	3	36	36	C	UVフリーカット		3：新規資材が必要（設備の調整や治具の必要なし）
木製コースター		刻印・プリント		5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		3：新規資材が必要（設備の調整や治具の必要なし）
オーダーメイド塗り絵				5点：Web deco	https://x.gd/mOodC		3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
ヘッドフォン		スキンシール貼る		5点：Web deco			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
ポータブルブックライト		スキンシール貼る	読書用など	5点：Web deco			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
ワイヤレスチャージャー		スキンシール・プリント	家電・ギフト	5点：Web deco			3	4	3	4	7	3	36	36	C	アイコス		3：新規資材が必要（設備の調整や治具の必要なし）
ヒップフラスコ		スキンシール貼る		5点：Web deco			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
階段に貼るシール		ウォールステッカー		2点：既成デザイン	https://www.amazon.co.jp/SMAOSTORE-%E3%81%BE%E3%81%9F-%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B9%E3%83%86%E3%83%83%E3%82%AB%E3%83%BC-%E3%83%9E%E3%83%83%E3%83%81%E3%83%A1%E3%83%BC%E3%82%AB%E3%83%BC-%E3%82%A6%E3%82%A9%E3%83%BC%E3%83%AB%E3%82%B7%E3%83%BC%E3%83%AB/dp/B0D8L63PH2?source=ps-sl-shoppingads-lpcontext&ref_=fplfs&ref_=fplfs&psc=1&smid=A2106STALVEKC8		3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
アイロンビーズセット				2点：既成デザイン			3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
ラゲッジタグ					https://shop-list.com/women/plusnao/zak-11582/		3	4	3	4	7	3	36	36	C			3：新規資材が必要（設備の調整や治具の必要なし）
ドミスト(ドミノのような分厚いアクリルストラップ)				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ケーキトッパー		アクスタセット	誕生日・結婚式	4点：フリーカット	https://www.nut2deco.com/product/5561		3	4	3	4	7	3	36	36	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
アクリルのカラビナ				5点：Web deco	https://item.rakuten.co.jp/hanko-otobe/ldac-kr/		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
モザイクアートグッズ			記念	3点：名入れ・画像カスタマイズ	https://note.com/gera_0316/n/nafb0adbf4da9		3	4	3	4	7	3	36	36	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
ビブス		名前入れ	スポーツ・ライブ応援	3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
剣道タレネーム　巾着				3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ヘアブラシ		名入れ・プリント	美容・女性向けギフト	5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
キーケース				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
動く仕掛けグッズ		切り抜きが動く	サプライズ・SNS映え	4点：フリーカット	https://www.instagram.com/reel/DJ6WSSLNuwC/?igsh=bjN2bnlqb3Bucnc1		3	4	3	4	7	3	36	36	C	UVフリーカット		2：新規資材が必要（設備の調整や治具の必要あり）
キラキラシール		ビックリマン風		5点：Web deco	https://www.instagram.com/p/C-uXIHHsYEp/?igsh=MWtjbjlwdDg1cWZiOA==\nhttps://www.instagram.com/haru_ouchi_asobi?igsh=dXR6b3E0NnRzZzFs		3	4	3	4	7	3	36	36	C	アイコス		2：新規資材が必要（設備の調整や治具の必要あり）
横断幕、応援幕			スポーツ応援・部活	5点：Web deco			3	4	3	4	7	3	36	36	C	アイロン縫製		2：新規資材が必要（設備の調整や治具の必要あり）
シューズマーカー				5点：Web deco	https://search.rakuten.co.jp/search/mall/%E4%B8%8A%E5%B1%A5%E3%81%8D%E3%83%AA%E3%83%B3%E3%82%B0/		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
アクセサリースタンド				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ブックスタンド		アクリル・木製		5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
テッシュケース、ポケットティッシュケース、ウェットワイプケース				5点：Web deco	https://www.tena.co.jp/familycarer/products/cleansing-wipes-and-creams/tena-proskin-wet-wipe-plastic-lid		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型マウスパッド				3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
スーツケースベルト				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
メガネケース		メガネ拭き付き		5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
カードゲーム用マット				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ブリキケース、缶				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
NFCカード			デジタル名刺・URL共有	5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
木札			ひなまつりとかイベント用	5点：Web deco	https://giftmall.co.jp/giftoGySwz/		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
スマートウォッチバンド（シリコン、レザー、ラバー）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ランチョンマット(PET樹脂など)				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
カップホルダー				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
男性用パンツ(ブリーフ、トランクス)				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
パスポートケース		名入れ・カスタム	旅行・ギフト	5点：Web deco			3	4	3	4	7	3	36	36	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
デスクマット				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
かぶるエプロン（フルエプロン）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
コインケース		革・高品質	ギフト・実用	5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
メガジョッキ		特大サイズ	飲食店・記念品	5点：Web deco			3	4	3	4	7	3	36	36	C	グッズ		2：新規資材が必要（設備の調整や治具の必要あり）
玄関マット				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
風呂敷				5点：Web deco			3	4	3	4	7	3	36	36	C	アイロン一般		2：新規資材が必要（設備の調整や治具の必要あり）
鍋敷き（木、キルティング？）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ブックカバー				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
アイマスク				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
キッチンマット				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ネックピロー（カバー）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
健康管理ノート（オリジナル表紙）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
洋服ブラシ				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
お弁当箱＆カトラリーセット				5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
キャンドルホルダー				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ユニフォーム型カラビナ		付加価値付き	スポーツ卒団記念	3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
かぶる顔（メッシュ生地にプリント）				4点：フリーカット	https://vt.tiktok.com/ZSSJ2F6q5/		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ギターピック（セット）				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
タスキ				5点：Web deco			3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
押し色リボングッズ		競合とデザイン差は出ない		2点：既成デザイン	https://www.instagram.com/p/CyQtDO5SWKf/?igshid=MzRlODBiNWFlZA%3D%3D&img_index=1		3	4	3	4	7	3	36	36	C	その他・不明・未定		2：新規資材が必要（設備の調整や治具の必要あり）
道中財布（祭り用など）				5点：Web deco	https://x.gd/ZrLYe		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
食器類			ベビー・一般・ペット	5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		2：新規資材が必要（設備の調整や治具の必要あり）
爪楊枝（頭にまとめて印刷）				5点：Web deco	https://x.gd/hVbG7		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
プリントシール\n					https://www.acry.co.jp/news/id90/		3	4	3	4	7	3	36	36	C			2：新規資材が必要（設備の調整や治具の必要あり）
ケーキの上に飾れる写真フィルム			推し活・記念日	5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ボックスフレームアート\nボックス型の奥行きのあるフレームの奥（紙）に、背景をプリントし、手前のアクリルの裏側に人やメッセージをプリントする商品。				4点：フリーカット			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
電光掲示板付きグッズ		掲示板機能	ライブ・店舗用	3点：名入れ・画像カスタマイズ			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
プリザーブドフラワー			母の日・推し活ギフト	1点：デザイン無し			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
名入れ　シャンパングラス、ワイングラス、ハイボールグラス、焼酎グラス、ソジュグラス				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
フリーカットマウスパッド				4点：フリーカット			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ボクサーパンツ、ブリーフ、トランクス				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
布団カバー・ベッドカバー				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ガラスコップ				5点：Web deco			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
ファーストカットアート（髪の毛）				2点：既成デザイン	https://oiwaiya.base.shop/items/84096787		3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
表札、看板				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ヨギボーサイズ枕カバー				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
動物型ピースのパズル		フリーカット（名入れも出来る）		2点：既成デザイン			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
オリジナル間接照明		シルエット投影	インテリア・メモリアル	5点：Web deco			3	4	3	4	7	3	36	36	C	UV一般		1：新設備が必要or外注のみ
名入れ万年筆				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
歯ブラシスタンド				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ラバーコースター				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ペーパーシアター				4点：フリーカット			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
誕生日新聞				2点：既成デザイン			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
スリッパ				5点：Web deco			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
鍋つかみ				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ショートパンツ（トレーニングショーツ）				5点：Web deco			3	4	3	4	7	3	36	36	C	アイロン一般		1：新設備が必要or外注のみ
サンダル				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
レジャーシート				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
アウトドア・キャンプ用品(テント、折りたたみチェア、テーブル、カトラリー・食器セットなど)				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
パソコンクッション				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
エルゴノミックマウスパッド（手首を保護するマウスパッド）				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
エナメルバック				5点：Web deco			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
ノートパソコンカバー				5点：Web deco			3	4	3	4	7	3	36	36	C	その他・不明・未定		1：新設備が必要or外注のみ
オリジナルプリントリボン				2点：既成デザイン			3	4	3	4	7	3	36	36	C			1：新設備が必要or外注のみ
